,Unnamed: 0,start station id,start station name,start station latitude,start station longitude,covid_cases,trip count,tripduration_sum(mins),tripduration_mean(mins),usertype_member_count,geometry
0,0,72.0,W 52 St & 11 Ave,40.76727216,-73.99392888,0.0015235480742831296,0.041782774414656804,192410.3667,2226.5567,8088.0,POINT (-73.99392888 40.76727216)
1,1,79.0,Franklin St & W Broadway,40.71911552,-74.00666661,0.0016308082570155502,0.04418900739886615,180274.5331,2766.5931,8785.0,POINT (-74.00666661 40.71911552)
2,2,82.0,St James Pl & Pearl St,40.71117416,-74.00016545,0.002352311703176061,0.024486723679574645,92442.1004,2550.3269,5025.0,POINT (-74.00016545 40.71117416)
3,3,83.0,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,0.0013850914813393711,0.037835110982992214,159923.3995,2857.0969,6729.0,POINT (-73.97632328 40.68382604)
4,4,116.0,W 17 St & 8 Ave,40.74177603,-74.00149746,0.0010925895426753662,0.07492953460811634,271173.0337,1959.8215,15111.0,POINT (-74.00149746 40.74177603)
5,5,119.0,Park Ave & St Edwards St,40.69608941,-73.97803415,0.002020024247061549,0.008816181416354376,33438.6664,2173.2813,1616.0,POINT (-73.97803415 40.69608941)
6,6,120.0,Lexington Ave & Classon Ave,40.68676793,-73.95928168,0.0013220517465174291,0.029215111623586688,119143.8499,2741.6042,5217.0,POINT (-73.95928168 40.68676793)
7,7,127.0,Barrow St & Hudson St,40.73172428,-74.00674436,0.0012820834683527026,0.09605714102687295,386842.8666,2661.5155,19045.0,POINT (-74.00674436 40.73172428)
8,8,128.0,MacDougal St & Prince St,40.72710258,-74.00297088,0.0012763981080384308,0.10444092117485027,413040.5503,2661.6224,20353.0,POINT (-74.00297088000001 40.72710258)
9,9,143.0,Clinton St & Joralemon St,40.69239502,-73.99337909,0.001241029419336547,0.034980461868614074,136112.5168,2701.4026,7383.0,POINT (-73.99337909 40.69239502)
10,10,144.0,Nassau St & Navy St,40.69839895,-73.98068914,0.001241029419336547,0.02493513980974344,116670.1834,3180.6761,4451.0,POINT (-73.98068914 40.69839895)
11,11,146.0,Hudson St & Reade St,40.71625008,-74.0091059,0.0016214079931262254,0.04816870055411422,195725.2167,2715.8086,9610.0,POINT (-74.00910589999999 40.71625008)
12,12,150.0,E 2 St & Avenue C,40.7208736,-73.98085795,0.001830007747117567,0.07041334358284489,251989.4159,2464.7402,14356.0,POINT (-73.98085795 40.7208736)
13,13,151.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,0.0014167987192164303,0.15295794497293488,599205.1331,2648.4143,29331.0,POINT (-73.99724900722504 40.72210378668603)
14,14,152.0,Warren St & W Broadway,40.71473993,-74.00910627,0.001117486332994102,0.012351462156881586,46782.2995,1489.4207,2479.0,POINT (-74.00910627 40.71473993)
15,15,157.0,Henry St & Atlantic Ave,40.69089272,-73.99612349,0.001241029419336547,0.04068976009737036,166994.7837,2724.0517,8060.0,POINT (-73.99612349 40.69089272)
16,16,161.0,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,0.0014167987192164303,0.0893549213670286,352905.6998,2674.4436,16926.0,POINT (-73.99810230999999 40.72917025)
17,17,164.0,E 47 St & 2 Ave,40.75323098,-73.97032517,0.001795947591145256,0.05607203484833926,222718.5006,2702.6192,10842.0,POINT (-73.97032517 40.75323098)
18,18,167.0,E 39 St & 3 Ave,40.7489006,-73.97604882,9.905209461724756e-05,0.019085711540309407,78197.58350000001,495.6717,3760.0,POINT (-73.97604882 40.7489006)
19,19,168.0,W 18 St & 6 Ave,40.73971301,-73.99456405,0.0012204699696384423,0.046511162358668846,146496.8159,1395.503,10124.0,POINT (-73.99456404999999 40.73971301)
20,20,173.0,Broadway & W 49 St,40.76068327096592,-73.9845272898674,0.0016301855523670182,0.0965455943115211,414902.6164,2946.2215,17676.0,POINT (-73.9845272898674 40.76068327096592)
21,21,174.0,E 25 St & 1 Ave,40.7381765,-73.97738662,0.0012821179733052289,0.08384180519522118,301941.7834,2472.3414,17446.0,POINT (-73.97738662 40.7381765)
22,22,195.0,Liberty St & Broadway,40.70905623,-74.01043382,0.00014720889638423368,0.012571666506518048,62057.8666,452.8032,2280.0,POINT (-74.01043382 40.70905623)
23,23,212.0,W 16 St & The High Line,40.74334935,-74.00681753,0.0013706214068813446,0.06455590788251499,253435.6339,2679.5337,12295.0,POINT (-74.00681753000001 40.74334935)
24,24,216.0,Columbia Heights & Cranberry St,40.70037867,-73.99548059,0.001241029419336547,0.020887383491880466,104617.1173,3270.4174,3718.0,POINT (-73.99548059 40.70037867)
25,25,217.0,Old Fulton St,40.70277159,-73.99383605,0.001241029419336547,0.06616540149258512,422735.3495,4000.3216,9177.0,POINT (-73.99383605 40.70277159)
26,26,223.0,W 13 St & 7 Ave,40.73781509,-73.99994661,0.0013706214068813446,0.08047067678805933,264983.8835,2247.7554,16848.0,POINT (-73.99994660999999 40.73781509)
27,27,224.0,Spruce St & Nassau St,40.71146364,-74.00552427,0.002338219036511685,0.0459346273341661,210433.1846,2977.6376,8613.0,POINT (-74.00552427 40.71146364)
28,28,228.0,E 48 St & 3 Ave,40.7546011026,-73.971878855,0.001839632682240369,0.04697559335062938,187729.3322,2806.1087,9227.0,POINT (-73.971878855 40.7546011026)
29,29,229.0,Great Jones St,40.72743423,-73.99379025,0.0013965878401891389,0.09858348547452037,318854.2169,2228.1131,20770.0,POINT (-73.99379025 40.72743423)
