Name_链接,Name,DateModified,Size,Type
https://s3.amazonaws.com/hubway-data/201803-hubway-tripdata.zip,201803-hubway-tripdata.zip,"Apr 30th 2018, 04:58:23 pm",1.75 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201804-hubway-tripdata.zip,201804-hubway-tripdata.zip,"May 11th 2018, 09:48:47 pm",3.34 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201805-bluebikes-tripdata.zip,201805-bluebikes-tripdata.zip,"Oct 3rd 2018, 07:48:55 pm",6.19 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201806-bluebikes-tripdata.zip,201806-bluebikes-tripdata.zip,"Oct 3rd 2018, 07:48:56 pm",7.14 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201807-bluebikes-tripdata.zip,201807-bluebikes-tripdata.zip,"Oct 3rd 2018, 07:48:58 pm",8.44 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201808-bluebikes-tripdata.zip,201808-bluebikes-tripdata.zip,"Oct 3rd 2018, 07:48:59 pm",8.38 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201809-bluebikes-tripdata.zip,201809-bluebikes-tripdata.zip,"Oct 3rd 2018, 07:49:00 pm",8.52 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201810-bluebikes-tripdata.zip,201810-bluebikes-tripdata.zip,"Nov 7th 2018, 07:51:17 pm",7.33 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201811-bluebikes-tripdata.zip,201811-bluebikes-tripdata.zip,"Dec 4th 2018, 04:26:54 pm",4.46 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201812-bluebikes-tripdata.zip,201812-bluebikes-tripdata.zip,"Jan 8th 2019, 08:53:50 pm",2.96 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201901-bluebikes-tripdata.zip,201901-bluebikes-tripdata.zip,"Feb 11th 2019, 02:42:57 pm",2.53 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201902-bluebikes-tripdata.zip,201902-bluebikes-tripdata.zip,"Mar 4th 2019, 04:26:00 pm",2.90 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201903-bluebikes-tripdata.zip,201903-bluebikes-tripdata.zip,"Apr 15th 2019, 07:38:27 pm",3.71 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201904-bluebikes-tripdata.zip,201904-bluebikes-tripdata.zip,"May 6th 2019, 08:08:40 pm",6.21 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201905-bluebikes-tripdata.zip,201905-bluebikes-tripdata.zip,"Jun 11th 2019, 08:37:09 pm",8.45 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201906-bluebikes-tripdata.zip,201906-bluebikes-tripdata.zip,"Nov 17th 2020, 04:32:44 pm",10.48 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201907-bluebikes-tripdata.zip,201907-bluebikes-tripdata.zip,"Nov 17th 2020, 04:38:15 pm",12.24 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201908-bluebikes-tripdata.zip,201908-bluebikes-tripdata.zip,"Nov 17th 2020, 04:38:21 pm",13.24 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201909-bluebikes-tripdata.zip,201909-bluebikes-tripdata.zip,"Oct 11th 2019, 08:41:10 pm",14.29 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201910-bluebikes-tripdata.zip,201910-bluebikes-tripdata.zip,"Nov 5th 2019, 10:07:53 pm",12.05 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201911-bluebikes-tripdata.zip,201911-bluebikes-tripdata.zip,"Dec 20th 2019, 06:44:17 pm",7.45 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201912-bluebikes-tripdata.zip,201912-bluebikes-tripdata.zip,"Jan 21st 2020, 09:22:59 pm",3.52 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202001-bluebikes-tripdata.zip,202001-bluebikes-tripdata.zip,"Feb 4th 2020, 07:05:19 pm",4.89 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202002-bluebikes-tripdata.zip,202002-bluebikes-tripdata.zip,"Mar 24th 2020, 08:06:09 pm",5.02 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202003-bluebikes-tripdata.zip,202003-bluebikes-tripdata.zip,"Apr 18th 2020, 12:56:33 am",4.12 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202004-bluebikes-tripdata.zip,202004-bluebikes-tripdata.zip,"May 27th 2020, 01:21:17 am",1.93 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202005-bluebikes-tripdata.zip,202005-bluebikes-tripdata.zip,"Jun 5th 2020, 03:02:18 pm",5.23 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202006-bluebikes-tripdata.zip,202006-bluebikes-tripdata.zip,"Jul 6th 2020, 01:35:28 am",8.01 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202007-bluebikes-tripdata.zip,202007-bluebikes-tripdata.zip,"Aug 12th 2020, 03:12:08 am",10.78 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202008-bluebikes-tripdata.zip,202008-bluebikes-tripdata.zip,"Sep 4th 2020, 04:13:41 pm",12.01 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202009-bluebikes-tripdata.zip,202009-bluebikes-tripdata.zip,"Oct 13th 2020, 08:55:28 pm",12.72 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202010-bluebikes-tripdata.zip,202010-bluebikes-tripdata.zip,"Nov 4th 2020, 02:54:12 pm",10.22 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202011-bluebikes-tripdata.zip,202011-bluebikes-tripdata.zip,"Dec 4th 2020, 11:27:57 pm",6.58 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202012-bluebikes-tripdata.zip,202012-bluebikes-tripdata.zip,"Jan 5th 2021, 02:27:19 pm",2.94 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202101-bluebikes-tripdata.zip,202101-bluebikes-tripdata.zip,"Feb 8th 2021, 03:13:21 pm",2.84 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202102-bluebikes-tripdata.zip,202102-bluebikes-tripdata.zip,"Mar 10th 2021, 12:48:22 am",2.37 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202103-bluebikes-tripdata.zip,202103-bluebikes-tripdata.zip,"Apr 8th 2021, 03:35:13 pm",5.54 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202104-bluebikes-tripdata.zip,202104-bluebikes-tripdata.zip,"May 7th 2021, 04:00:15 pm",7.65 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202105-bluebikes-tripdata.zip,202105-bluebikes-tripdata.zip,"Jun 11th 2021, 06:20:25 pm",11.19 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202106-bluebikes-tripdata.zip,202106-bluebikes-tripdata.zip,"Jul 16th 2021, 12:28:02 am",13.02 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202107-bluebikes-tripdata.zip,202107-bluebikes-tripdata.zip,"Aug 14th 2021, 07:21:30 am",12.96 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202108-bluebikes-tripdata.zip,202108-bluebikes-tripdata.zip,"Sep 8th 2021, 09:04:33 pm",15.01 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202109-bluebikes-tripdata.zip,202109-bluebikes-tripdata.zip,"Oct 4th 2021, 06:31:10 pm",17.82 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202110-bluebikes-tripdata.zip,202110-bluebikes-tripdata.zip,"Jan 13th 2022, 04:29:14 pm",16.41 MB,ZIP file
