Name_链接,Name,DateModified,Size,Type
https://divvy-tripdata.s3.amazonaws.com/Divvy_Stations_Trips_2014_Q3Q4.zip,Divvy_Stations_Trips_2014_Q3Q4.zip,"Jan 24th 2020, 04:07:40 pm",30.84 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2015-Q1Q2.zip,Divvy_Trips_2015-Q1Q2.zip,"Jan 24th 2020, 04:07:40 pm",22.45 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2015_Q3Q4.zip,Divvy_Trips_2015_Q3Q4.zip,"Jan 24th 2020, 04:07:40 pm",43.62 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2016_Q1Q2.zip,Divvy_Trips_2016_Q1Q2.zip,"Jan 24th 2020, 04:07:44 pm",30.96 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2016_Q3Q4.zip,Divvy_Trips_2016_Q3Q4.zip,"Jan 24th 2020, 04:07:45 pm",57.22 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2017_Q1Q2.zip,Divvy_Trips_2017_Q1Q2.zip,"Jan 24th 2020, 04:07:48 pm",42.03 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2017_Q3Q4.zip,Divvy_Trips_2017_Q3Q4.zip,"Jan 24th 2020, 04:07:50 pm",57.50 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2018_Q1.zip,Divvy_Trips_2018_Q1.zip,"Jan 24th 2020, 04:07:56 pm",10.03 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2018_Q2.zip,Divvy_Trips_2018_Q2.zip,"Jan 24th 2020, 04:07:57 pm",27.18 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2018_Q3.zip,Divvy_Trips_2018_Q3.zip,"Jan 24th 2020, 04:08:00 pm",38.78 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2018_Q4.zip,Divvy_Trips_2018_Q4.zip,"Jan 24th 2020, 04:08:05 pm",16.72 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2019_Q1.zip,Divvy_Trips_2019_Q1.zip,"Nov 8th 2021, 10:05:26 pm",9.57 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2019_Q2.zip,Divvy_Trips_2019_Q2.zip,"Nov 8th 2021, 10:06:12 pm",28.72 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2019_Q3.zip,Divvy_Trips_2019_Q3.zip,"Jan 24th 2020, 04:08:06 pm",42.36 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2019_Q4.zip,Divvy_Trips_2019_Q4.zip,"Jan 24th 2020, 04:08:07 pm",18.40 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/Divvy_Trips_2020_Q1.zip,Divvy_Trips_2020_Q1.zip,"May 27th 2020, 01:17:43 am",15.92 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/index.html,index.html,"Jan 24th 2020, 04:08:07 pm",6 KB,HTML file
