Name_链接,Name,DateModified,Size,Type,字段1_链接
https://s3.amazonaws.com/tripdata/201804-citibike-tripdata.csv.zip,201804-citibike-tripdata.csv.zip,"Sep 6th 2018, 07:44:09 pm",42.78 MB,ZIP file,https://s3.amazonaws.com/tripdata/201804-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201805-citibike-tripdata.csv.zip,201805-citibike-tripdata.csv.zip,"Sep 6th 2018, 07:44:14 pm",60.40 MB,ZIP file,https://s3.amazonaws.com/tripdata/201805-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201806-citibike-tripdata.csv.zip,201806-citibike-tripdata.csv.zip,"Sep 6th 2018, 07:44:22 pm",64.68 MB,ZIP file,https://s3.amazonaws.com/tripdata/201806-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201807-citibike-tripdata.csv.zip,201807-citibike-tripdata.csv.zip,"Sep 6th 2018, 07:44:30 pm",63.14 MB,ZIP file,https://s3.amazonaws.com/tripdata/201807-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201808-citibike-tripdata.csv.zip,201808-citibike-tripdata.csv.zip,"Sep 12th 2018, 07:57:00 pm",84.33 MB,ZIP file,https://s3.amazonaws.com/tripdata/201808-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201809-citibike-tripdata.csv.zip,201809-citibike-tripdata.csv.zip,"Oct 3rd 2018, 07:48:03 pm",80.09 MB,ZIP file,https://s3.amazonaws.com/tripdata/201809-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201810-citibike-tripdata.csv.zip,201810-citibike-tripdata.csv.zip,"Nov 7th 2018, 07:43:33 pm",79.98 MB,ZIP file,https://s3.amazonaws.com/tripdata/201810-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201811-citibike-tripdata.csv.zip,201811-citibike-tripdata.csv.zip,"Dec 4th 2018, 04:27:25 pm",53.73 MB,ZIP file,https://s3.amazonaws.com/tripdata/201811-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201812-citibike-tripdata.csv.zip,201812-citibike-tripdata.csv.zip,"Jan 8th 2019, 08:51:08 pm",43.61 MB,ZIP file,https://s3.amazonaws.com/tripdata/201812-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201901-citibike-tripdata.csv.zip,201901-citibike-tripdata.csv.zip,"Feb 11th 2019, 02:43:30 pm",41.47 MB,ZIP file,https://s3.amazonaws.com/tripdata/201901-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201902-citibike-tripdata.csv.zip,201902-citibike-tripdata.csv.zip,"Mar 4th 2019, 04:21:38 pm",40.47 MB,ZIP file,https://s3.amazonaws.com/tripdata/201902-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201903-citibike-tripdata.csv.zip,201903-citibike-tripdata.csv.zip,"Apr 15th 2019, 07:34:41 pm",57.20 MB,ZIP file,https://s3.amazonaws.com/tripdata/201903-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201904-citibike-tripdata.csv.zip,201904-citibike-tripdata.csv.zip,"May 6th 2019, 08:07:32 pm",75.70 MB,ZIP file,https://s3.amazonaws.com/tripdata/201904-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201905-citibike-tripdata.csv.zip,201905-citibike-tripdata.csv.zip,"Jun 11th 2019, 08:37:54 pm",82.18 MB,ZIP file,https://s3.amazonaws.com/tripdata/201905-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201906-citibike-tripdata.csv.zip,201906-citibike-tripdata.csv.zip,"Jul 15th 2019, 06:42:08 pm",91.08 MB,ZIP file,https://s3.amazonaws.com/tripdata/201906-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201907-citibike-tripdata.csv.zip,201907-citibike-tripdata.csv.zip,"Aug 5th 2019, 10:34:01 pm",93.36 MB,ZIP file,https://s3.amazonaws.com/tripdata/201907-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201908-citibike-tripdata.csv.zip,201908-citibike-tripdata.csv.zip,"Sep 18th 2019, 09:33:14 pm",100.02 MB,ZIP file,https://s3.amazonaws.com/tripdata/201908-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201909-citibike-tripdata.csv.zip,201909-citibike-tripdata.csv.zip,"Oct 11th 2019, 08:42:04 pm",104.19 MB,ZIP file,https://s3.amazonaws.com/tripdata/201909-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201910-citibike-tripdata.csv.zip,201910-citibike-tripdata.csv.zip,"Nov 5th 2019, 10:10:55 pm",89.20 MB,ZIP file,https://s3.amazonaws.com/tripdata/201910-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201911-citibike-tripdata.csv.zip,201911-citibike-tripdata.csv.zip,"Dec 20th 2019, 06:44:54 pm",63.20 MB,ZIP file,https://s3.amazonaws.com/tripdata/201911-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201912-citibike-tripdata.csv.zip,201912-citibike-tripdata.csv.zip,"Jan 21st 2020, 09:23:32 pm",41.08 MB,ZIP file,https://s3.amazonaws.com/tripdata/201912-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202001-citibike-tripdata.csv.zip,202001-citibike-tripdata.csv.zip,"Feb 4th 2020, 07:05:46 pm",53.47 MB,ZIP file,https://s3.amazonaws.com/tripdata/202001-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202002-citibike-tripdata.csv.zip,202002-citibike-tripdata.csv.zip,"Mar 24th 2020, 08:07:44 pm",49.51 MB,ZIP file,https://s3.amazonaws.com/tripdata/202002-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202003-citibike-tripdata.csv.zip,202003-citibike-tripdata.csv.zip,"Apr 18th 2020, 12:58:01 am",46.66 MB,ZIP file,https://s3.amazonaws.com/tripdata/202003-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202004-citibike-tripdata.csv.zip,202004-citibike-tripdata.csv.zip,"May 27th 2020, 01:18:14 am",30.12 MB,ZIP file,https://s3.amazonaws.com/tripdata/202004-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202005-citibike-tripdata.csv.zip,202005-citibike-tripdata.csv.zip,"Jun 5th 2020, 05:09:37 pm",65.38 MB,ZIP file,https://s3.amazonaws.com/tripdata/202005-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202006-citibike-tripdata.csv.zip,202006-citibike-tripdata.csv.zip,"Jul 6th 2020, 01:37:43 am",83.40 MB,ZIP file,https://s3.amazonaws.com/tripdata/202006-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202007-citibike-tripdata.csv.zip,202007-citibike-tripdata.csv.zip,"Aug 12th 2020, 03:13:25 am",94.09 MB,ZIP file,https://s3.amazonaws.com/tripdata/202007-citibike-tripdata.csv.zip
